Job Title,Link,Company,Experience,Email,Phone
Администратор коворкинга по направлению веб-программирование (русское направление),https://tashkent.hh.uz/vacancy/120799887?query=HTML&hhtmFrom=vacancy_search_list,PROWEB.UZ (НОУ «SMART EDUCATION SOLUTIONS»),Без опыта,N/A,N/A
PHP - разработчик / Junior программист / Middle программист / Senior программист,https://tashkent.hh.uz/vacancy/118020828?query=HTML&hhtmFrom=vacancy_search_list,Xalq Banki,Опыт 1-3 года,N/A,N/A
Fullstack-разработчик,https://tashkent.hh.uz/vacancy/120448112?query=HTML&hhtmFrom=vacancy_search_list,СП ООО IST TELEKOM,Опыт 1-3 года,N/A,N/A
Главный специалист отдела МПС (международные платежные системы),https://tashkent.hh.uz/vacancy/120773392?query=HTML&hhtmFrom=vacancy_search_list,АО Асакабанк,Опыт 3-6 лет,N/A,N/A
Senior PHP developer (Symfony),https://tashkent.hh.uz/vacancy/120698124?query=HTML&hhtmFrom=vacancy_search_list,ООО Шарп Девелоперс,Опыт 3-6 лет,N/A,N/A
React Native Senior Developer,https://tashkent.hh.uz/vacancy/120689867?query=HTML&hhtmFrom=vacancy_search_list,Itransition,Опыт 3-6 лет,N/A,N/A
UX/UI-дизайнер,https://tashkent.hh.uz/vacancy/120721499?query=HTML&hhtmFrom=vacancy_search_list,ООО SMARTBLAX IT GROUP,Опыт 3-6 лет,s.toirova@smartblax.com,+998945333367
Intern .NET Developer,https://tashkent.hh.uz/vacancy/104381897?query=HTML&hhtmFrom=vacancy_search_list,Itransition,Без опыта,N/A,N/A
PHP-разработчик (Laravel),https://tashkent.hh.uz/vacancy/119583186?query=HTML&hhtmFrom=vacancy_search_list,ООО UNITEL LLC,Опыт 1-3 года,N/A,N/A
SEO-специалист,https://tashkent.hh.uz/vacancy/120612920?query=HTML&hhtmFrom=vacancy_search_list,ООО MY SAFAR AS,Опыт 3-6 лет,abdulxamidovabdulvohid001@gmail.com,+998888742666
UX/UI-дизайнер,https://tashkent.hh.uz/vacancy/120095738?query=HTML&hhtmFrom=vacancy_search_list,ООО Universal Mobile Systems ( ТМ Mobiuz ),Опыт 1-3 года,N/A,N/A
QA-инженер,https://tashkent.hh.uz/vacancy/120277266?query=HTML&hhtmFrom=vacancy_search_list,PRO DATA,Опыт 3-6 лет,N/A,N/A
Microsoft Dynamics CRM expert,https://tashkent.hh.uz/vacancy/120471267?query=HTML&hhtmFrom=vacancy_search_list,LeverX,Опыт более 6 лет,N/A,N/A
Frontend-разработчик,https://tashkent.hh.uz/vacancy/120205527?query=HTML&hhtmFrom=vacancy_search_list,ООО PITTSBURGH INTERNATIONAL,Опыт 1-3 года,N/A,N/A
Middle/Senior Angular разработчик,https://tashkent.hh.uz/vacancy/120239284?query=HTML&hhtmFrom=vacancy_search_list,ООО Fido-Biznes,Опыт 3-6 лет,N/A,N/A
Backend-разработчик (Python/Java),https://tashkent.hh.uz/vacancy/120168453?query=HTML&hhtmFrom=vacancy_search_list,Grand Invest,Опыт 3-6 лет,blogchikuz@gmail.com,+998918313348
React Разработчик,https://tashkent.hh.uz/vacancy/120119631?query=HTML&hhtmFrom=vacancy_search_list,АО PAYNET,Опыт 3-6 лет,evgeniya.em@paynet.uz,+998773858559
Middle PHP Developer,https://tashkent.hh.uz/vacancy/120156612?query=HTML&hhtmFrom=vacancy_search_list,АО CLICK,Опыт 3-6 лет,N/A,N/A
SEO-специалист (Middle),https://tashkent.hh.uz/vacancy/118736007?query=HTML&hhtmFrom=vacancy_search_list,SEO & ROI Consult,Опыт 1-3 года,N/A,N/A
Frontend-dasturchi (Vue),https://tashkent.hh.uz/vacancy/120074513?query=HTML&hhtmFrom=vacancy_search_list,"O'ZBEKISTON RESPUBLIKASI INVESTITSIYALAR, SANOAT VA SAVDO VAZIRLIGI QOSHIDAGI RAQAMLASHTIRISH MARKAZI MCHJ",Опыт 1-3 года,rm@miit.uz,+998951616333
Senior frontend разработчик (React),https://tashkent.hh.uz/vacancy/120037045?query=HTML&hhtmFrom=vacancy_search_list,ООО Fido-Biznes,Опыт 3-6 лет,N/A,N/A
Разработчик WordPress Elementor,https://tashkent.hh.uz/vacancy/120463117?query=HTML&hhtmFrom=vacancy_search_list,ИП Digital Down Town,Опыт 3-6 лет,N/A,N/A
React (middle) разработчик,https://tashkent.hh.uz/vacancy/120495287?query=HTML&hhtmFrom=vacancy_search_list,Nextgen IT,Опыт 3-6 лет,N/A,N/A
Wordpress специалист-разработчик (middle),https://tashkent.hh.uz/vacancy/120346212?query=HTML&hhtmFrom=vacancy_search_list,ООО Mageek,Опыт 1-3 года,N/A,N/A
Web программист Full Stack,https://tashkent.hh.uz/vacancy/120290137?query=HTML&hhtmFrom=vacancy_search_list,ООО Raskills,Опыт 3-6 лет,N/A,N/A
Middle Frontend Engineer who can create web design for Japanese companies,https://tashkent.hh.uz/vacancy/120429579?query=HTML&hhtmFrom=vacancy_search_list,ИП ООО U RAVO,Опыт 1-3 года,N/A,N/A
Junior PHP-разработчик,https://tashkent.hh.uz/vacancy/120178782?query=HTML&hhtmFrom=vacancy_search_list,ООО COMING SOON STUDIO,Без опыта,N/A,N/A
Frontend разработчик (React js),https://tashkent.hh.uz/vacancy/120638221?query=HTML&hhtmFrom=vacancy_search_list,ООО STEM,Опыт 3-6 лет,N/A,N/A
Junior / Middle VueJS разработчик,https://tashkent.hh.uz/vacancy/120357763?query=HTML&hhtmFrom=vacancy_search_list,ООО BUKHARA OFFICIAL DISTRIBUTION,Опыт 1-3 года,bexruzbek@gmail.com,+998933830288
Мобилограф / сторизмейкер в учебный центр,https://tashkent.hh.uz/vacancy/120940510?query=HTML&hhtmFrom=vacancy_search_list,ИП YATT XODJAYEV LAZIZ FURKATOVICH,Без опыта,N/A,N/A
"Frontend developer, Vuejs, NuxtJs - Please carefully read description of the vacancy",https://tashkent.hh.uz/vacancy/120929642?query=HTML&hhtmFrom=vacancy_search_list,ООО TORA,Опыт 3-6 лет,tora.official001@gmail.com,+998931880416
